day,insurance,visitId,lengthPagecount,discount,whoweare,catalog,hour,application,lengthSeconds,howtojoin,referrerType
Monday,FALSE,1414,2,FALSE,FALSE,FALSE,14,FALSE,120,FALSE,Partners
Monday,FALSE,1416,7,FALSE,TRUE,FALSE,14,FALSE,180,FALSE,NA
Monday,FALSE,1418,4,FALSE,FALSE,FALSE,14,FALSE,120,FALSE,Partners
Monday,FALSE,1427,4,TRUE,FALSE,FALSE,15,FALSE,180,FALSE,NA
Monday,FALSE,1431,10,FALSE,FALSE,FALSE,15,FALSE,720,FALSE,NA
Monday,FALSE,1434,6,FALSE,FALSE,FALSE,15,FALSE,180,FALSE,NA
Monday,FALSE,1435,6,FALSE,FALSE,FALSE,15,FALSE,480,FALSE,Fulltext
Monday,FALSE,1443,9,TRUE,FALSE,TRUE,15,FALSE,480,FALSE,Fulltext
Monday,FALSE,1444,4,FALSE,FALSE,FALSE,15,FALSE,180,FALSE,NA
Monday,FALSE,1445,5,FALSE,FALSE,FALSE,15,FALSE,180,FALSE,Partners
Monday,FALSE,1451,3,FALSE,FALSE,FALSE,15,FALSE,180,FALSE,NA
Monday,FALSE,1465,4,FALSE,TRUE,FALSE,16,FALSE,180,FALSE,Partners
Monday,FALSE,1468,16,TRUE,TRUE,TRUE,16,FALSE,1380,FALSE,NA
Monday,FALSE,1472,10,TRUE,FALSE,TRUE,16,FALSE,1080,FALSE,NA
Monday,FALSE,1474,5,FALSE,FALSE,FALSE,16,FALSE,420,FALSE,Fulltext
Monday,FALSE,1479,7,FALSE,FALSE,TRUE,16,FALSE,480,FALSE,Fulltext
Monday,FALSE,1480,5,FALSE,FALSE,FALSE,16,FALSE,180,FALSE,Other
Monday,FALSE,1490,16,FALSE,FALSE,FALSE,17,FALSE,540,FALSE,Catalogue
Monday,FALSE,1493,2,FALSE,FALSE,FALSE,17,FALSE,1140,FALSE,Fulltext
Monday,FALSE,1503,6,FALSE,FALSE,TRUE,17,FALSE,360,FALSE,Partners
Monday,FALSE,1506,6,FALSE,FALSE,FALSE,17,FALSE,240,FALSE,Partners
Monday,FALSE,1509,4,FALSE,FALSE,FALSE,17,FALSE,120,FALSE,NA
Monday,FALSE,1524,19,FALSE,FALSE,FALSE,18,FALSE,180,FALSE,NA
Monday,FALSE,1525,40,FALSE,FALSE,FALSE,18,FALSE,720,FALSE,NA
Monday,FALSE,1526,4,FALSE,FALSE,FALSE,18,FALSE,180,FALSE,NA
Monday,FALSE,1529,5,FALSE,TRUE,FALSE,18,FALSE,120,FALSE,Catalogue
Monday,FALSE,1532,3,FALSE,FALSE,FALSE,18,FALSE,420,FALSE,Fulltext
Monday,FALSE,1533,5,FALSE,FALSE,FALSE,18,FALSE,300,FALSE,OwnWebs
Monday,FALSE,1535,7,FALSE,FALSE,FALSE,18,FALSE,180,FALSE,Fulltext
Monday,FALSE,1546,8,FALSE,FALSE,FALSE,19,FALSE,540,FALSE,NA
Monday,FALSE,1552,2,FALSE,FALSE,FALSE,19,FALSE,120,FALSE,Fulltext
Monday,FALSE,1554,5,FALSE,FALSE,FALSE,19,FALSE,180,FALSE,NA
Monday,FALSE,1565,3,FALSE,FALSE,FALSE,20,FALSE,660,FALSE,Fulltext
Monday,FALSE,1571,36,FALSE,FALSE,FALSE,21,FALSE,1980,FALSE,Catalogue
Monday,FALSE,1572,3,FALSE,FALSE,FALSE,20,FALSE,180,FALSE,Partners
Monday,FALSE,1584,7,FALSE,FALSE,FALSE,21,FALSE,1680,FALSE,NA
Monday,FALSE,1585,6,FALSE,FALSE,FALSE,21,FALSE,600,FALSE,OwnWebs
Monday,FALSE,1587,10,FALSE,FALSE,FALSE,22,FALSE,840,FALSE,NA
Monday,FALSE,1591,5,FALSE,FALSE,FALSE,22,FALSE,600,FALSE,Fulltext
Monday,FALSE,1597,3,TRUE,FALSE,FALSE,22,FALSE,780,FALSE,NA
Monday,FALSE,1608,9,TRUE,FALSE,FALSE,22,FALSE,240,FALSE,Partners
Monday,FALSE,1613,3,FALSE,FALSE,FALSE,23,FALSE,240,FALSE,NA
Tuesday,FALSE,1623,5,FALSE,FALSE,FALSE,1,FALSE,240,FALSE,NA
Tuesday,FALSE,1627,7,FALSE,FALSE,FALSE,6,FALSE,420,FALSE,NA
Tuesday,FALSE,1628,3,FALSE,FALSE,FALSE,6,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,1635,3,FALSE,FALSE,FALSE,7,FALSE,120,FALSE,Other
Tuesday,FALSE,1636,6,FALSE,FALSE,FALSE,7,FALSE,180,FALSE,NA
Tuesday,FALSE,1638,2,FALSE,FALSE,TRUE,7,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,1641,8,FALSE,FALSE,FALSE,8,FALSE,780,FALSE,Fulltext
Tuesday,FALSE,1642,6,FALSE,TRUE,TRUE,8,FALSE,840,FALSE,Partners
Tuesday,FALSE,1645,4,FALSE,FALSE,FALSE,8,FALSE,240,FALSE,Other
Tuesday,FALSE,1649,6,FALSE,FALSE,TRUE,8,FALSE,240,FALSE,Fulltext
Tuesday,FALSE,1650,3,FALSE,FALSE,FALSE,8,FALSE,120,FALSE,OwnWebs
Tuesday,FALSE,1656,3,FALSE,FALSE,FALSE,8,FALSE,300,FALSE,NA
Tuesday,FALSE,1658,3,FALSE,FALSE,FALSE,8,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,1665,4,FALSE,FALSE,FALSE,9,FALSE,240,FALSE,NA
Tuesday,FALSE,1668,2,FALSE,FALSE,FALSE,9,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,1669,4,FALSE,FALSE,FALSE,9,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,1681,2,FALSE,FALSE,FALSE,9,FALSE,480,FALSE,NA
Tuesday,FALSE,1684,4,FALSE,FALSE,FALSE,9,FALSE,480,FALSE,NA
Tuesday,FALSE,1685,5,FALSE,FALSE,FALSE,9,FALSE,420,FALSE,Partners
Tuesday,FALSE,1689,6,FALSE,FALSE,FALSE,9,FALSE,420,FALSE,NA
Tuesday,FALSE,1692,12,FALSE,FALSE,TRUE,10,FALSE,1320,FALSE,NA
Tuesday,FALSE,1693,3,FALSE,FALSE,FALSE,9,FALSE,240,FALSE,Fulltext
